year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,scopes,tax_class
2016,True,False,False,136680,https://www.iucnredlist.org/species/136680/518740,Myotis alcathoe,DD,518740,"[{'description': {'en': 'Global'}, 'code': '1'}, {'description': {'en': 'Europe'}, 'code': '2'}]",mammalia
2018,True,False,False,15602,https://www.iucnredlist.org/species/15602/739675,Euryoryzomys lamia,VU,739675,"[{'description': {'en': 'Global'}, 'code': '1'}]",mammalia
2015,True,False,False,17026,https://www.iucnredlist.org/species/17026/1306343,Phocarctos hookeri,EN,1306343,"[{'description': {'en': 'Global'}, 'code': '1'}]",mammalia
2016,True,False,False,20429,https://www.iucnredlist.org/species/20429/2772339,Spalax giganteus,LC,2772339,"[{'description': {'en': 'Global'}, 'code': '1'}, {'description': {'en': 'Europe'}, 'code': '2'}]",mammalia
2012,True,False,False,20731,https://www.iucnredlist.org/species/20731/2773889,Stenella coeruleoalba,VU,2773889,"[{'description': {'en': 'Mediterranean'}, 'code': '4'}]",mammalia
2024,True,False,False,2150,https://www.iucnredlist.org/species/2150/2775649,Arvicola sapidus,NT,2775649,"[{'description': {'en': 'Global'}, 'code': '1'}, {'description': {'en': 'Europe'}, 'code': '2'}]",mammalia
2012,True,False,False,22563,https://www.iucnredlist.org/species/22563/2782611,Tursiops truncatus,VU,2782611,"[{'description': {'en': 'Mediterranean'}, 'code': '4'}]",mammalia
2012,True,False,False,23211,https://www.iucnredlist.org/species/23211/2785108,Ziphius cavirostris,DD,2785108,"[{'description': {'en': 'Mediterranean'}, 'code': '4'}]",mammalia
2012,True,False,False,41755,https://www.iucnredlist.org/species/41755/2955634,Physeter macrocephalus,EN,2955634,"[{'description': {'en': 'Mediterranean'}, 'code': '4'}]",mammalia
2024,True,False,False,7618,https://www.iucnredlist.org/species/7618/3139783,Eliomys quercinus,VU,3139783,"[{'description': {'en': 'Global'}, 'code': '1'}, {'description': {'en': 'Europe'}, 'code': '2'}]",mammalia
2010,True,False,False,10103,https://www.iucnredlist.org/species/10103/3163374,Hippopotamus amphibius,RE,3163374,"[{'description': {'en': 'Mediterranean'}, 'code': '4'}]",mammalia
2020,True,False,False,12776,https://www.iucnredlist.org/species/12776/508612,Mantella aurantiaca,EN,508612,"[{'description': {'en': 'Global'}, 'code': '1'}]",amphibia
2023,True,False,False,135726,https://www.iucnredlist.org/species/135726/515582,Bokermannohyla itapoty,LC,515582,"[{'description': {'en': 'Global'}, 'code': '1'}]",amphibia
2023,True,False,False,135794,https://www.iucnredlist.org/species/135794/515757,Pseudis platensis,LC,515757,"[{'description': {'en': 'Global'}, 'code': '1'}]",amphibia
2020,True,False,False,135803,https://www.iucnredlist.org/species/135803/516093,Bolitoglossa bramei,LC,516093,"[{'description': {'en': 'Global'}, 'code': '1'}]",amphibia
2020,True,False,False,135889,https://www.iucnredlist.org/species/135889/516369,Telmatobius sanborni,CR,516369,"[{'description': {'en': 'Global'}, 'code': '1'}]",amphibia
2018,True,False,False,135968,https://www.iucnredlist.org/species/135968/516500,Chimerella mariaelenae,LC,516500,"[{'description': {'en': 'Global'}, 'code': '1'}]",amphibia
2017,True,False,False,136015,https://www.iucnredlist.org/species/136015/516817,Pristimantis aquilonaris,LC,516817,"[{'description': {'en': 'Global'}, 'code': '1'}]",amphibia
2018,True,False,False,136036,https://www.iucnredlist.org/species/136036/517178,Ctenophryne barbatula,EN,517178,"[{'description': {'en': 'Global'}, 'code': '1'}]",amphibia
